,# YTID,start_seconds,end_seconds,positive_labels,label_names
19,-24dqQM_rDk,30.0,40.0,"""/m/04rlf,/t/dd00003""",Music | Male singing
20,-275_wTLm-4,7.0,17.0,"""/m/07q6cd_""",Squeak
21,-28U1_qW0sU,30.0,40.0,"""/m/07qwdck""",Ping
22,-2PDE7hUArE,30.0,40.0,"""/m/02mk9,/m/07pb8fc,/t/dd00066""",Engine | Idling | Medium engine (mid frequency)
23,-2X03mO3T_U,30.0,40.0,"""/m/04k94,/m/0dv3j""",Liquid | Boiling
24,-2hQKCE-oTI,30.0,40.0,"""/m/07pbtc8""","Walk, footsteps"
25,-30H9V1IKps,6.0,16.0,"""/m/07yv9,/m/09x0r,/m/0gvgw0""",Vehicle | Speech | Air brake
26,-38Qgsbh7NQ,100.0,110.0,"""/m/013y1f,/m/03xq_f""",Organ | Electronic organ
27,-3HYdaJyF4U,30.0,40.0,"""/m/04rlf,/m/06rqw""",Music | Ska
28,-3IGxVTJvgI,30.0,40.0,"""/m/06bz3,/m/09x0r""",Radio | Speech
29,-3IYpJfLVJk,30.0,40.0,"""/m/03k3r,/m/07q5rw0,/m/0jbk""","Horse | Neigh, whinny | Animal"
30,-3hKkjKmIGE,30.0,40.0,"""/m/019jd,/m/06q74""","Boat, Water vehicle | Ship"
31,-3pPrlCm6gg,30.0,40.0,"""/m/01wy6""",Clarinet
32,-4NLarMj4xU,30.0,40.0,"""/m/04rlf,/t/dd00034""",Music | Tender music
33,-4RWqM0UCCY,0.0,10.0,"""/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9""",Ambulance (siren) | Car alarm | Emergency vehicle | Siren
34,-4hZyOdm7EI,200.0,210.0,"""/m/015lz1,/m/015vgc""",Singing | Carnatic music
35,-4xJv59_zcA,30.0,40.0,"""/m/07pl1bw,/m/083vt""",Splinter | Wood
36,-5-vmt2iKT0,30.0,40.0,"""/m/02zsn,/m/09x0r""","Female speech, woman speaking | Speech"
37,-5DdYkYOjy0,30.0,40.0,"""/m/06h7j""",Run
38,-5GhUbDLYkQ,16.0,26.0,"""/m/0130jx,/m/02jz0l,/m/0838f""","Sink (filling or washing) | Water tap, faucet | Water"
39,-5Jlimvsuwo,90.0,100.0,"""/m/011k_j,/m/04rlf""",Timpani | Music
40,-5Kk-m7BmiE,21.0,31.0,"""/m/07pyf11,/m/07qmpdm""",Flap | Clatter
41,-5S70zOSw30,30.0,40.0,"""/m/030rvx,/m/07pzfmf,/m/09x0r""",Buzzer | Crackle | Speech
42,-5f6hjZf9Yw,30.0,40.0,"""/m/02w4v,/m/04rlf""",Folk music | Music
43,-5xOcMJpTUk,70.0,80.0,"""/m/018vs,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y""",Bass guitar | Guitar | Acoustic guitar | Music | Musical instrument | Speech | Plucked string instrument
44,-60XojQWWoc,30.0,40.0,"""/m/02rhddq,/m/07r04,/m/07yv9""",Reversing beeps | Truck | Vehicle
45,-64xnyOswXA,120.0,130.0,"""/m/0cdnk""","Roaring cats (lions, tigers)"
46,-693sNKI3iM,30.0,40.0,"""/m/015lz1,/m/01swy6,/m/04rlf""",Singing | Yodeling | Music
47,-6QGvxvaTkI,280.0,290.0,"""/m/01p970,/m/026t6,/m/0l14md""",Tabla | Drum | Percussion
48,-6RN8skIHU4,20.0,30.0,"""/m/09x0r,/m/0dv5r,/t/dd00125""","Speech | Camera | Inside, small room"
49,-6fxJZ7CW00,30.0,40.0,"""/m/07pjjrj""","Smash, crash"
50,-6gC_nlUBfA,60.0,70.0,"""/m/02y_763,/m/09x0r""",Sliding door | Speech
51,-6krAYK2LLo,30.0,40.0,"""/m/04rlf,/m/06j64v,/m/0l14gg""",Music | Middle Eastern music | Soundtrack music
52,-6pcgdLfb_A,110.0,120.0,"""/m/04rlf,/t/dd00035""",Music | Exciting music
53,-6sgMgtW91g,20.0,30.0,"""/m/04rlf,/m/05rj2,/m/09x0r""",Music | Shuffling cards | Speech
54,-6x2PtSRfJU,30.0,40.0,"""/m/01yrx,/m/068hy,/m/07qrkrw,/m/09x0r""","Cat | Domestic animals, pets | Meow | Speech"
55,-70MzkgSsHQ,30.0,40.0,"""/m/04rlf,/m/04rzd""",Music | Mandolin
56,-70wVF5u-gg,30.0,40.0,"""/m/07pn_8q""",Chopping (food)
57,-75IwDlkzDQ,30.0,40.0,"""/m/01h82_,/m/02mk9""",Engine knocking | Engine
58,-76P3VHPuus,10.0,20.0,"""/m/01jg1z""",Heart murmur
59,-7J4109yM7w,30.0,40.0,"""/m/02mk9,/m/07yv9,/t/dd00130""",Engine | Vehicle | Engine starting
60,-7QVE8o9uk4,30.0,40.0,"""/m/01yg9g,/m/04rlf,/m/07yv9""",Lawn mower | Music | Vehicle
61,-7WpTk5AHfk,30.0,40.0,"""/m/04rlf,/m/07pws3f,/m/09x0r""",Music | Bang | Speech
62,-7aibH1LKwI,90.0,100.0,"""/t/dd00121""",Boing
63,-7wUQP6G5EQ,30.0,40.0,"""/m/02cjck,/m/02w4v,/m/04rlf""",Theme music | Folk music | Music
64,-7ye24UFRng,0.0,10.0,"""/m/032n05,/m/04rlf""",Whale vocalization | Music
65,-7z662AsuTE,380.0,390.0,"""/m/0mbct""",Gong
66,-82vJ9bcar4,40.0,50.0,"""/m/0642b4""",Cupboard open or close
67,-8CrCItCO24,30.0,40.0,"""/m/07q7njn""","Chink, clink"
68,-8Ezw9946g8,100.0,110.0,"""/m/0fqfqc""",Drawer open or close
69,-8H4GKg-mYQ,30.0,40.0,"""/m/04rlf,/m/07gxw""",Music | Techno
70,-8S_tLKfeJg,200.0,210.0,"""/m/04fgwm,/m/09x0r,/t/dd00125""","Electric toothbrush | Speech | Inside, small room"
71,-8_HpHg6nCw,30.0,40.0,"""/m/07ptzwd,/m/0838f""",Pump (liquid) | Water
72,-8fQePz4FcE,30.0,40.0,"""/m/04rlf,/m/07xzm,/t/dd00126""","Music | Ukulele | Inside, large room or hall"
73,-8n2NqDFRko,30.0,40.0,"""/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r""",Reversing beeps | Truck | Vehicle | Speech
74,-8wQV7VJnmM,30.0,40.0,"""/m/04rlf,/m/04wptg,/t/dd00031""",Music | Wedding music | Happy music
75,-92cYmTgIjM,190.0,200.0,"""/m/02fxyj""",Humming
76,-99daJhXYJY,30.0,40.0,"""/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092""","Boat, Water vehicle | Motorboat, speedboat | Wind | Wind noise (microphone)"
77,-9ME9qMgkeY,270.0,280.0,"""/m/08j51y,/m/09ct_""","Dental drill, dentist's drill | Helicopter"
78,-9Nl3LZBCOo,200.0,210.0,"""/m/01s0vc,/m/09x0r""",Zipper (clothing) | Speech
79,-9c1c8G_WO8,24.0,34.0,"""/m/07c52,/m/09x0r""",Television | Speech
80,-9ek6eO0RtI,260.0,270.0,"""/m/03wwcy""",Doorbell
81,-9wxcZf43a4,530.0,540.0,"""/m/0cj0r""",Pink noise
82,-A0MTi2NMGI,30.0,40.0,"""/t/dd00134""",Car passing by
83,-AIrHVeCgtM,30.0,40.0,"""/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r""",Reversing beeps | Truck | Vehicle | Speech
84,-ASYwidRD7M,30.0,40.0,"""/m/01d3sd""",Snoring
85,-AgbNy9f2sg,80.0,90.0,"""/m/019jd,/m/06q74""","Boat, Water vehicle | Ship"
86,-Ar7D-GARhI,30.0,40.0,"""/m/07bgp,/m/07q0h5t,/m/09x0r""",Sheep | Bleat | Speech
87,-AswFDuOptQ,0.0,10.0,"""/m/04k94,/m/04rlf,/m/09x0r""",Liquid | Music | Speech
88,-AvC89aikTw,180.0,190.0,"""/m/0242l""",Coin (dropping)
89,-B3_mFE3pog,30.0,40.0,"""/m/07qfgpx""","Jingle, tinkle"
90,-BIMKnb3tlo,410.0,420.0,"""/m/01p970,/m/026t6,/m/0l14md""",Tabla | Drum | Percussion
91,-BcwR0CSZ4w,150.0,160.0,"""/m/07mzm6,/m/07ppn3j,/m/0ytgt""","Wheeze | Sniff | Child speech, kid speaking"
92,-BqpAyCLh7U,450.0,460.0,"""/m/01m2v,/m/04rlf,/m/09x0r""",Computer keyboard | Music | Speech
93,-BwM5Va6XFg,70.0,80.0,"""/m/023pjk,/m/04brg2""","Cutlery, silverware | Dishes, pots, and pans"
94,-BxQ9nkrId4,30.0,40.0,"""/m/07qv_x_""",Shuffle
95,-By_0iIghuE,30.0,40.0,"""/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk""","Cat | Domestic animals, pets | Caterwaul | Animal"
96,-C5dEU4zpJg,30.0,40.0,"""/m/025_jnm,/m/04rlf""",Finger snapping | Music
97,-CHMeZVAe2s,30.0,40.0,"""/m/01jg1z""",Heart murmur
98,-CIxoobEubQ,250.0,260.0,"""/m/02p01q,/m/07pdjhy,/m/083vt""",Filing (rasp) | Rub | Wood
99,-CUp_Tmg2Y0,30.0,40.0,"""/m/01qbl,/m/026t6,/m/02hnl,/m/03qtq,/m/03t3fj,/m/0bm02,/m/0l14md""",Cymbal | Drum | Drum kit | Hi-hat | Rimshot | Bass drum | Percussion
100,-CgdUiJaNdU,170.0,180.0,"""/m/07sq110,/m/09x0r""",Belly laugh | Speech
101,-CniGkDLq-Y,30.0,40.0,"""/m/04rlf,/t/dd00004""",Music | Female singing
102,-DBcp6YGi6k,30.0,40.0,"""/t/dd00018""",Oink
103,-DLL8LaKq-c,19.0,29.0,"""/m/07pws3f,/m/09x0r""",Bang | Speech
104,-DNkAalo7og,30.0,40.0,"""/m/02mk9,/m/07pb8fc,/t/dd00066""",Engine | Idling | Medium engine (mid frequency)
105,-DWRAxaH_RY,300.0,310.0,"""/m/04rlf,/m/09x0r,/m/0l156b""",Music | Speech | Steelpan
106,-DYZX74qgFQ,30.0,40.0,"""/m/04rlf,/t/dd00032""",Music | Funny music
107,-DZMYxyB6L8,40.0,50.0,"""/m/05lls""",Opera
108,-D_ljLTbCK0,220.0,230.0,"""/m/04rlf,/m/09ct_""",Music | Helicopter
109,-DcMk015qSA,290.0,300.0,"""/m/07qh7jl""",Creak
110,-DeAdhYKbGE,290.0,300.0,"""/m/0192l,/m/085jw""","Bagpipes | Wind instrument, woodwind instrument"
111,-Dj2PfPmynQ,30.0,40.0,"""/m/04rlf,/m/0l14jd,/t/dd00003,/t/dd00004""",Music | Choir | Male singing | Female singing
112,-Dl-VzBPd9E,270.0,280.0,"""/m/028ght""",Applause
113,-Dtir74TiUM,40.0,50.0,"""/m/01hgjl,/m/0283d,/m/04rlf,/m/07qb_dv""",Scratching (performance technique) | Drum and bass | Music | Scratch
114,-DvxsHG1tuo,410.0,420.0,"""/m/04rlf,/m/05zppz,/m/07sr1lc,/m/09x0r""","Music | Male speech, man speaking | Yell | Speech"
115,-E013cWxoMo,10.0,20.0,"""/m/02_nn""",Fart
116,-ECK_BisOLM,20.0,30.0,"""/m/04rlf,/t/dd00006""",Music | Synthetic singing
117,-EDGR1davAc,40.0,50.0,"""/m/0gy1t2s""",Bicycle bell
118,-EDhb2m8qhk,30.0,40.0,"""/m/01z7dr,/m/04rlf""",Video game music | Music
119,-EFS2mihxs0,240.0,250.0,"""/m/02rhddq,/m/07yv9,/t/dd00129""","Reversing beeps | Vehicle | Outside, rural or natural"
120,-ETHxO8vrAg,30.0,40.0,"""/m/015lz1,/m/04rlf,/t/dd00004""",Singing | Music | Female singing
121,-ETSfElMyNc,220.0,230.0,"""/m/0chx_""",White noise
122,-En5nC5Tka4,30.0,40.0,"""/m/07qlwh6,/m/09x0r""",Squish | Speech
123,-F8ZP9sXcKM,5.0,15.0,"""/t/dd00006""",Synthetic singing
124,-FEPOSP7ay0,260.0,270.0,"""/m/0395lw""",Bell
125,-FFx68qSAuY,190.0,200.0,"""/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md""",Drum | Drum kit | Drum roll | Rimshot | Snare drum | Bass drum | Percussion
126,-FT5MbWPCzg,540.0,550.0,"""/m/03w41f""",Church bell
127,-FVBrg2qeIA,90.0,100.0,"""/m/0342h,/m/04rlf,/m/04szw,/m/07rwj3x,/m/09x0r,/m/0fx80y""",Guitar | Music | Musical instrument | Whoop | Speech | Plucked string instrument
128,-FYyJ2sAWk4,200.0,210.0,"""/m/0242l""",Coin (dropping)
129,-Fby-7z_JpE,0.0,8.0,"""/m/07q5rw0""","Neigh, whinny"
130,-FlvaZQOr2I,90.0,100.0,"""/m/04rlf,/t/dd00037""",Music | Scary music
131,-Fn3Ze8xVOE,210.0,220.0,"""/m/05w3f,/m/0dl5d""",Psychedelic rock | Progressive rock
132,-G3Ph35cTy0,30.0,40.0,"""/m/09x0r,/t/dd00136""",Speech | Whimper (dog)
133,-GDC7PuqdOM,30.0,40.0,"""/m/02mk9,/m/07pb8fc,/t/dd00066,/t/dd00130""",Engine | Idling | Medium engine (mid frequency) | Engine starting
134,-GI5PbO6j50,30.0,40.0,"""/m/03qc9zr""",Screaming
135,-GREE8GdRrc,30.0,40.0,"""/m/02z32qm,/t/dd00129""","Fusillade | Outside, rural or natural"
136,-G_hnfp4a0M,30.0,40.0,"""/m/04rlf,/m/07pbtc8""","Music | Walk, footsteps"
137,-GaHBgRGi4s,10.0,20.0,"""/m/04rlf,/m/07rkbfh,/m/09x0r,/t/dd00126""","Music | Chatter | Speech | Inside, large room or hall"
138,-GbQWmFzVdY,60.0,70.0,"""/m/01h3n,/m/03vt0,/m/0h2mp""","Bee, wasp, etc. | Insect | Fly, housefly"
139,-GiRtQZlnbw,280.0,290.0,"""/m/04_sv,/m/07yv9""",Motorcycle | Vehicle
140,-GlZ819IHfE,30.0,40.0,"""/m/07pn_8q""",Chopping (food)
141,-H5WnRXsnoM,130.0,140.0,"""/m/07qwdck,/m/09x0r,/t/dd00125""","Ping | Speech | Inside, small room"
142,-H5kC4WsuI8,30.0,40.0,"""/m/07qcpgn,/m/09x0r""",Tap | Speech
143,-H7l8OjHID4,10.0,20.0,"""/m/06xkwv,/m/07rcgpl""",Mains hum | Hum
144,-HLoD4GWMtw,4.0,14.0,"""/m/04rmv""",Mouse
145,-HN5kqCKpEA,30.0,40.0,"""/m/04rlf,/m/07pws3f,/m/09x0r""",Music | Bang | Speech
146,-Hav5URxl74,30.0,40.0,"""/m/04fgwm""",Electric toothbrush
147,-HlS6jz-f0I,170.0,180.0,"""/m/04rlf,/m/0dq0md""",Music | Music of Bollywood
148,-HnNrGtKXp4,30.0,40.0,"""/m/04rlf,/m/0m0jc""",Music | Electronica
149,-HvtS74RG8w,240.0,250.0,"""/m/03l9g""",Hammer
150,-IKwiAsgpAI,500.0,510.0,"""/m/02p01q,/m/07pdjhy,/m/083vt""",Filing (rasp) | Rub | Wood
151,-IWlQN6cfe4,30.0,40.0,"""/m/07pbtc8""","Walk, footsteps"
152,-IZsyroG6yo,420.0,430.0,"""/m/07rkbfh,/m/09x0r""",Chatter | Speech
153,-ItCGHv_9Gs,3.0,13.0,"""/m/07r4wb8,/m/09x0r""",Knock | Speech
154,-J0H5ah1G7A,30.0,40.0,"""/m/025td0t,/m/04rlf""",Background music | Music
155,-JBvPwxaVVg,110.0,120.0,"""/m/04rlf,/m/07qnq_y,/m/09x0r""","Music | Thump, thud | Speech"
156,-JKLmqDk9p8,490.0,500.0,"""/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038""",Rain | Raindrop | Thunderstorm | Thunder | Rain on surface
157,-JOKwS64mRU,150.0,160.0,"""/m/019jd,/m/03m9d0z,/m/06q74,/t/dd00092""","Boat, Water vehicle | Wind | Ship | Wind noise (microphone)"
158,-JVWfFPBl84,330.0,340.0,"""/m/0l14t7""",Singing bowl
159,-Jam3cjbeFQ,30.0,40.0,"""/m/07pws3f,/m/09x0r""",Bang | Speech
160,-JbPonixXS4,0.0,10.0,"""/m/01j4z9,/m/0_ksk""",Chainsaw | Power tool
161,-JfXNXGi-l8,70.0,80.0,"""/m/03wvsk""",Hair dryer
162,-JfpacjZWyw,30.0,40.0,"""/m/01c194""",Mantra
163,-Jie0k7xUIk,10.0,20.0,"""/m/012xff,/m/07r5v4s""",Toothbrush | Drip
164,-JuVh6islEI,30.0,40.0,"""/m/06bz3,/m/09x0r""",Radio | Speech
165,-K-k1pxeRtQ,30.0,40.0,"""/m/03qtwd,/m/04gy_2""",Crowd | Battle cry
166,-K4R9SXZZsk,10.0,20.0,"""/m/012f08,/m/07yv9,/m/096m7z,/m/0k4j""",Motor vehicle (road) | Vehicle | Noise | Car
167,-KElVp2r03E,530.0,540.0,"""/m/018w8,/m/07rjzl8,/m/09x0r""",Basketball bounce | Slam | Speech
168,-KaRoM5LnHc,30.0,40.0,"""/m/07pyf11,/m/09x0r""",Flap | Speech
169,-KengzYsTkk,60.0,70.0,"""/m/06hck5""",Steam whistle
170,-KiAK66YwW8,150.0,160.0,"""/m/07r4k75,/m/09x0r""",Grunt | Speech
171,-L44JqysUy8,190.0,200.0,"""/m/07qc9xj,/m/09x0r,/t/dd00125""","Clicking | Speech | Inside, small room"
172,-L68XDzhn2g,80.0,90.0,"""/m/02x984l,/m/09x0r""",Mechanical fan | Speech
173,-LB1RoVe8Xc,270.0,280.0,"""/m/04rlf,/m/07rrh0c""",Music | Thunk
174,-LBl0UeKNyU,430.0,440.0,"""/m/07p6mqd,/m/09x0r,/t/dd00125,/t/dd00128""","Slosh | Speech | Inside, small room | Outside, urban or manmade"
175,-LQM385KSMY,30.0,40.0,"""/m/0155w,/m/04rlf,/m/06j6l,/m/06rqw""",Blues | Music | Rhythm and blues | Ska
176,-M-6VinyMiY,30.0,40.0,"""/m/04rlf,/t/dd00033""",Music | Sad music
177,-MZx1np1Ddc,30.0,40.0,"""/m/01jnbd,/m/09x0r""",Echo | Speech
178,-M_5w6KKfgQ,0.0,10.0,"""/m/04rlf,/m/07r4wb8,/m/09x0r""",Music | Knock | Speech
179,-MfaG0whPJc,130.0,140.0,"""/m/07qv4k0,/t/dd00129""","Scrape | Outside, rural or natural"
180,-MtYGIr-o08,50.0,60.0,"""/m/03qtwd,/m/04gy_2""",Crowd | Battle cry
181,-Mu1AWT_x54,320.0,330.0,"""/m/03v3yw,/m/09x0r""",Keys jangling | Speech
182,-N2reaP4SoI,30.0,40.0,"""/m/042v_gx,/m/04rlf,/m/07s0s5r,/m/09x0r""",Acoustic guitar | Music | Strum | Speech
183,-NC5li0b4eY,30.0,40.0,"""/m/04rlf,/t/dd00003,/t/dd00004,/t/dd00006""",Music | Male singing | Female singing | Synthetic singing
184,-NNjOlPg0y0,0.0,5.0,"""/m/04rlf,/m/07c52""",Music | Television
185,-NPqCu4DyAM,30.0,40.0,"""/m/04rlf,/t/dd00032""",Music | Funny music
186,-N_vl1d7TFA,30.0,40.0,"""/m/01yrx,/m/02yds9,/m/04rlf,/m/068hy,/m/0jbk""","Cat | Purr | Music | Domestic animals, pets | Animal"
187,-NmjCyqIavI,30.0,40.0,"""/m/02cz_7,/m/04rlf,/m/0y4f8""",Beatboxing | Music | Vocal music
188,-NutOdeXH8s,50.0,60.0,"""/m/07pqc89""","Trickle, dribble"
189,-NwuLeOWpLk,420.0,430.0,"""/m/01lsmm""",Scissors
190,-O842QWtymw,0.0,6.0,"""/m/07st88b,/m/09ld4""",Croak | Frog
191,-O9mnfC61Ac,0.0,10.0,"""/m/01lyv""",Country
192,-ODqYMQFwsY,30.0,40.0,"""/t/dd00134""",Car passing by
193,-ODzHayGHvk,50.0,60.0,"""/m/0ghcn6""",Growling
194,-OIGA3xjYyQ,0.0,10.0,"""/m/07rdhzs""","Whack, thwack"
195,-OYfLX-2kmU,30.0,40.0,"""/m/0140xf,/m/04rlf""",Christmas music | Music
196,-OaOY7-71ME,90.0,100.0,"""/m/04rlf,/m/0ggx5q""",Music | Dance music
197,-OylLzMa0d0,100.0,110.0,"""/m/04rlf,/m/07p78v5""",Music | Zing
198,-PFO-nCfRq0,0.0,9.0,"""/m/01jt3m,/m/0838f""",Toilet flush | Water
199,-PIuJAAplqI,210.0,220.0,"""/m/016cjb,/m/04rlf""",Gospel music | Music
200,-Pvyzs28PJw,20.0,30.0,"""/m/03cczk,/m/07pdhp0,/m/07s12q4""","Chewing, mastication | Biting | Crunch"
201,-Q9WotFs1MI,30.0,40.0,"""/m/07pczhz""",Chop
202,-QE9dqhf_D8,170.0,180.0,"""/m/0642b4,/m/09x0r""",Cupboard open or close | Speech
203,-QSNQGKiGT4,260.0,270.0,"""/m/03qc9zr""",Screaming
204,-QVqh513RxQ,15.0,25.0,"""/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136""","Domestic animals, pets | Speech | Dog | Animal | Whimper (dog)"
205,-QcXMPUNMeM,0.0,10.0,"""/m/09x0r,/t/dd00121,/t/dd00125""","Speech | Boing | Inside, small room"
206,-QivqOnaPIc,100.0,110.0,"""/m/08j51y,/m/09x0r""","Dental drill, dentist's drill | Speech"
207,-QoZQDW4qjU,30.0,40.0,"""/m/04rlf,/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00136""","Music | Domestic animals, pets | Yip | Dog | Animal | Whimper (dog)"
208,-R0267o4lLk,60.0,70.0,"""/m/0239kh,/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md""",Cowbell | Drum | Drum kit | Drum roll | Rimshot | Snare drum | Bass drum | Percussion
209,-R9gJXtS07g,0.0,10.0,"""/m/04rlf,/m/07phhsh""",Music | Rumble
210,-RAdrtCW1hI,70.0,80.0,"""/m/032s66,/m/073cg4""","Gunshot, gunfire | Cap gun"
211,-RIzfomIqZc,30.0,40.0,"""/m/04rlf,/m/07bjf,/m/09x0r""",Music | Single-lens reflex camera | Speech
212,-RPKtQIGBOY,30.0,40.0,"""/m/03cczk""","Chewing, mastication"
213,-RRi3QktLdc,500.0,510.0,"""/m/09x0r,/m/0ytgt,/t/dd00013,/t/dd00128""","Speech | Child speech, kid speaking | Children playing | Outside, urban or manmade"
214,-RZ01HFrafg,6.0,16.0,"""/m/07qs1cx""",Crack
215,-RfUo7Hb8TE,30.0,40.0,"""/m/01b9nn,/m/04rlf,/m/09x0r""",Reverberation | Music | Speech
216,-Rl7NZwtVmA,40.0,50.0,"""/m/05_wcq""","Bird flight, flapping wings"
217,-RlXse804I0,30.0,40.0,"""/m/025td0t,/m/04rlf""",Background music | Music
218,-RsGz8XRZUM,30.0,40.0,"""/m/07pdhp0,/m/07pzfmf,/m/07s12q4""",Biting | Crackle | Crunch
219,-Ry1YNVPPCM,9.0,19.0,"""/m/068hy,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136""","Domestic animals, pets | Bow-wow | Speech | Dog | Animal | Whimper (dog)"
220,-S-Cn-IKlQw,23.0,33.0,"""/m/07swgks,/m/09x0r""",Gurgling | Speech
221,-SD9DkKyOrY,30.0,40.0,"""/m/01qbl,/m/026t6,/m/02hnl,/m/03qtq,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md""",Cymbal | Drum | Drum kit | Hi-hat | Rimshot | Snare drum | Bass drum | Percussion
222,-Sclnq22t7o,30.0,40.0,"""/m/03q5_w""","Burping, eructation"
223,-T-ZI1MZ44g,40.0,50.0,"""/m/04rlf,/m/09x0r,/t/dd00127""","Music | Speech | Inside, public space"
224,-T4GeTHKtJQ,30.0,40.0,"""/m/02x8m,/m/04rlf""",Funk | Music
225,-TJe1_ECCwM,6.0,16.0,"""/m/07pws3f""",Bang
226,-TNmWwhsnzs,30.0,40.0,"""/m/07qv4k0""",Scrape
227,-Tea8DpWZQM,13.0,23.0,"""/m/015lz1,/m/01swy6,/m/09x0r""",Singing | Yodeling | Speech
228,-ToQFT3M-Vg,200.0,210.0,"""/m/02cjck,/m/04rlf""",Theme music | Music
229,-TpdnwhYCvk,30.0,40.0,"""/m/07qsvvw""","Burst, pop"
230,-TvUb8THUq4,100.0,110.0,"""/m/04rlf,/m/06bxc""",Music | Rapping
231,-U3Xh6Fsw50,0.0,10.0,"""/m/07pqn27,/m/09x0r""",Bouncing | Speech
232,-UGmXiQ8yiY,50.0,60.0,"""/m/03dnzn,/m/07p7b8y,/m/09x0r""",Bathtub (filling or washing) | Fill (with liquid) | Speech
233,-UNPp3fEWSE,0.0,10.0,"""/m/01d380,/m/07k1x,/m/0_ksk""",Drill | Tools | Power tool
234,-UYmhq3Rjtc,30.0,40.0,"""/m/04rlf,/m/07pws3f""",Music | Bang
235,-Ub8LKPkhos,60.0,70.0,"""/m/06xkwv""",Mains hum
236,-UbFLKplzbE,30.0,40.0,"""/m/01j4z9""",Chainsaw
237,-UcfsxiD_ns,340.0,350.0,"""/m/0llzx""",Sewing machine
238,-UfqtS1lsRY,30.0,40.0,"""/m/01bns_,/m/0d8_n""",Zither | Pizzicato
239,-UuEBhule84,350.0,360.0,"""/m/015lz1,/m/01lyv,/m/04rlf,/m/07s0s5r""",Singing | Country | Music | Strum
240,-Uw2HHni78U,80.0,90.0,"""/m/0jb2l,/m/0ngt1""",Thunderstorm | Thunder
241,-V7u2HffQAE,160.0,170.0,"""/m/07rrh0c,/m/09x0r""",Thunk | Speech
242,-VI2IRq17rs,360.0,370.0,"""/m/0395lw""",Bell
243,-VXpZuIsb_g,30.0,40.0,"""/m/030rvx,/m/09x0r""",Buzzer | Speech
